time,lift,day_status
2015-01-04 10:54:06,Symphony,1
2015-01-04 10:54:16,Flute Bowl,1
2015-01-05 00:00:00,T-BAR,0
2015-01-05 00:00:00,Showcase,0
2015-01-05 00:00:00,Blackcomb Glacier,0
2015-01-05 00:00:00,Franz's,0
2015-01-05 00:00:00,Symphony,0
2015-01-05 00:00:00,Harmony,0
2015-01-05 00:00:00,Peak,0
2015-01-05 00:00:00,Flute Bowl,0
2015-01-05 00:00:00,Spanky's Ladder,0
2015-01-05 09:16:03,Red Chair,1
2015-01-05 09:16:14,Creekside Gondola,1
2015-01-05 09:16:24,Emerald,1
2015-01-05 09:16:35,Fitzsimmons,1
2015-01-05 09:16:55,Whistler Village Gondola (Lower),1
2015-01-05 09:16:55,Whistler Village Gondola,1
2015-01-05 09:22:04,Garbanzo,1
2015-01-05 09:27:11,Blackcomb Gondola (Lower),1
2015-01-05 09:28:16,Excalibur Gondola (Lower),1
2015-01-05 09:28:16,Excalibur Gondola,1
2015-01-05 09:28:27,Excelerator,1
2015-01-05 09:29:08,Blackcomb Gondola,1
2015-01-05 09:48:23,Jersey Cream,1
2015-01-05 10:07:06,Olympic,1
2015-01-05 10:09:11,Crystal,1
2015-01-05 10:17:03,Peak 2 Peak,1
2015-01-05 10:30:05,Catskinner,1
2015-01-05 12:07:26,7th Heaven,1
2015-01-05 12:07:36,Glacier,1
2015-01-06 00:00:00,Blackcomb Gondola (Lower),0
2015-01-06 00:00:00,Red Chair,0
2015-01-06 00:00:00,Creekside Gondola,0
2015-01-06 00:00:00,Fitzsimmons,0
2015-01-06 00:00:00,Olympic,0
2015-01-06 00:00:00,Blackcomb Gondola,0
2015-01-06 00:00:00,Excelerator,0
2015-01-06 00:00:00,Crystal,0
2015-01-06 00:00:00,Garbanzo,0
2015-01-06 00:00:00,Jersey Cream,0
2015-01-06 00:00:00,Excalibur Gondola,0
2015-01-06 00:00:00,7th Heaven,0
2015-01-06 00:00:00,Glacier,0
2015-01-06 00:00:00,Peak 2 Peak,0
2015-01-06 00:00:00,Harmony,0
2015-01-06 00:00:00,Whistler Village Gondola (Lower),0
2015-01-06 00:00:00,Whistler Village Gondola,0
2015-01-06 00:00:00,Emerald,0
2015-01-06 00:00:00,Excalibur Gondola (Lower),0
2015-01-06 00:00:00,Franz's,0
2015-01-06 00:00:00,Catskinner,0
2015-01-06 00:00:00,Flute Bowl,0
2015-01-06 00:00:00,Showcase,0
2015-01-06 00:00:00,Blackcomb Glacier,0
2015-01-06 00:00:00,Symphony,0
2015-01-06 00:00:00,Peak,0
2015-01-06 10:57:03,Spanky's Ladder,1
2015-01-06 11:00:03,T-BAR,1
2015-01-07 00:00:00,T-BAR,0
2015-01-07 00:00:00,Franz's,0
2015-01-07 09:16:04,Red Chair,1
2015-01-07 09:16:16,Creekside Gondola,1
2015-01-07 09:16:27,Fitzsimmons,1
2015-01-07 09:17:04,Excalibur Gondola (Lower),1
2015-01-07 09:17:04,Excalibur Gondola,1
2015-01-07 09:17:15,Excelerator,1
2015-01-07 09:17:27,Blackcomb Gondola,1
2015-01-07 09:17:38,Blackcomb Gondola (Lower),1
2015-01-07 09:17:50,Emerald,1
2015-01-07 09:18:01,Whistler Village Gondola (Lower),1
2015-01-07 09:18:01,Whistler Village Gondola,1
2015-01-07 09:29:15,Garbanzo,1
2015-01-07 09:42:15,Jersey Cream,1
2015-01-07 09:57:42,Peak,1
2015-01-07 10:03:32,Peak 2 Peak,1
2015-01-07 10:05:26,Harmony,1
2015-01-07 10:06:11,Olympic,1
2015-01-07 10:14:12,Catskinner,1
2015-01-07 10:29:50,7th Heaven,1
2015-01-07 10:31:44,Glacier,1
2015-01-07 10:32:33,Showcase,1
2015-01-07 10:32:55,Blackcomb Glacier,1
2015-01-07 10:33:54,Spanky's Ladder,1
2015-01-07 10:34:24,Crystal,1
2015-01-07 10:45:21,Symphony,1
2015-01-07 10:45:46,Flute Bowl,1
2015-01-08 00:00:00,Peak 2 Peak,0
2015-01-08 00:00:00,Glacier,0
2015-01-08 00:00:00,Harmony,0
2015-01-08 00:00:00,T-BAR,0
2015-01-08 00:00:00,Franz's,0
2015-01-08 00:00:00,Peak,0
2015-01-08 00:00:00,7th Heaven,0
2015-01-08 09:04:13,Red Chair,1
2015-01-08 09:04:34,Whistler Village Gondola,1
2015-01-08 09:04:34,Whistler Village Gondola (Lower),1
2015-01-08 09:06:13,Emerald,1
2015-01-08 09:11:14,Garbanzo,1
2015-01-08 09:14:13,Excalibur Gondola,1
2015-01-08 09:14:13,Excalibur Gondola (Lower),1
2015-01-08 09:14:33,Blackcomb Gondola (Lower),1
2015-01-08 09:15:12,Excelerator,1
